0: 540,466
201: 329,375,473,163
202: 129,394,507,275,114,117,137,199,251
203: 287,483,155,135,475,341,117,130,624,179,173,259,420
204: 422,616,235,399,16,489,495,162,41,440,19
205: 464,48,31,330,579,248,36,123,51,368,527,149,306
206: 482,4,211,233,101
207: 
208: 223,225,2,561,587,441,544,94
209: 409,609,299,592
210: 436,449,274,339,12,417,249,563,214,122
211: 489,70,19,233,453,482,206,387
212: 389,561,393,380,305,231
213: 371,621,593,190,354,132,100
214: 364,417,353,563,210,436,11,135,594,122,260,18
215: 525,367,187,305,231,90
216: 176,598,386,472,428
217: 487,382,86,152
218: 299
219: 276,120,106,71,239,49,258,462
220: 464,200,48,13,530,279,510,82,295
221: 510,32,124,159,564,48,310,530
222: 521,111
223: 208,561,587,305,522,195
224: 502,565,41,469,125
225: 208,94,195,506
226: 243,134,321,327,124,570,554,247,557,250,434
227: 47,104,89,392
228: 604,26,121,40,239,230,618,276,120,142,74,87
229: 75,391,237,474,128,418,114,303,197
230: 121,40,228,130,142,580,317,11,291,87
231: 215,305,90,389,212,139
232: 300,48,13,310,579,339,398,368
233: 492,453,576,211,312,206,101
234: 70,165,547,54,115
235: 422,434,279,143,616,358,523,204,41
236: 76,565,370
237: 172,378,170,93,313,474,128,392,512,418,303,229,197
238: 193,343,401,71,17,49,95,344,476
239: 604,121,40,306,228,219,276,120,71,450
240: 361,184,42
241: 96,55,98,395
242: 176,560,280,562,531
243: 226,134,531,111,560,34
244: 501,130,31,432,339,12,353,563,133,11,287,122,291
245: 174
246: 299,144,547
247: 226,134,554,57,577,386,443,440,434,616,110,358
248: 36,422,143,51,205,288,77
249: 50,180,417,418,433,378,572,93,153,300,210,449,274
250: 557,481,226,554
251: 199,439,468,364,129,192,202,135,18
252: 14,293,318,60,264,352,433
253: 69,278,159,30,564,323,608,368,310
254: 
255: 277,148
256: 181,150,95
257: 96,55,507,509,66,78
258: 94,522,462,612,219,587,305
259: 173,420,155,203,145,188
260: 122,444,331,27,214,11,594,267,18
261: 561,127,393,617,366
262: 307,595,294,66
263: 199,185,439,118,478,346,157
264: 252,461,486,271,352,433,437,538,625,398,50
265: 270
266: 126
267: 11,483,421,594,546,260,444,331,27,439,468
268: 360,599
269: 186,600,303,166,78,75
270: 265,112,150,131,116
271: 21,486,549,461,264,437,398,583
272: 124,15,60,454,498
273: 45
274: 210,619,93,153,300,12,281,249
275: 364,180,417,597,353,114,117,103,202,135
276: 338,219,120,97,26,239,228,618,462
277: 148,255,286
278: 69,355,253,308,567,350,159,14
279: 611,143,523,510,235,80,82,200,220
280: 375,242
