0: 540,286,466
174: 245,485,340,521,1,548
175: 521,222,599
176: 598,406,411,460
177: 827,713,805,347
178: 347,671,746,463
179: 493,537,203,362,624,137,550,756,729,667,285,686,202
180: 536,275,417,249,418,597,339,303,735,808,50,583,114
181: 365,95,20
182: 298
183: 776,482
184: 240,511,842,164,62,316,311,61,123,590,588,296,36
185: 478,388,513,199,691,468,727,693,192,251
186: 23,600,98,496,75,257,78,269
187: 823,109,612,332,707,412,797
188: 328,91,259,815,811,775,284,155
189: 39,333,322,607,2,22
190: 67,424,490,784,6,213
191: 25,611,80,804,295,501
192: 129,391,672,251,388,199,185,468,693,202
193: 724,543,541,149,343,401,306,527,500,238,559,831,750,71
194: 514,39,322,503,165,802
195: 223,305,522,459,781,677
196: 528,428,615,505,400,709,147
197: 698,741,392,721,93,512,692,418,374,474,787
198: 241,103,778,632,381,637,28,639,847,795
199: 478,185,693,202,192
200: 711,464,642,295,12
201: 329,375,373,840,473
202: 199,693,137,275,135,729,129,192,179,667,251
203: 493,420,341,475,179,362,287,483,130,689,667,718,686
204: 448,37,495,162,216,56,708,440,224,668,386,565,41,16,358
205: 711,464,48,737,681,669,51,330,143,733,702,31,623
206: 504,101,233,453,387,771,366,4
207: 431
208: 126,747,22
209: 154
210: 436,449,274,122,563,417,594,244,214
211: 489,70,54,547,387,366,482
212: 305,389,746,309,561,261
213: 371,539,654,67,190,784
214: 260,444,122,594,210,436,11,267,244,18
215: 231,305,677,841
216: 448,204,37,767,56,386,428,505,709,472
217: 593,676,292
218: 
219: 258,522,612,380,106,71,760,120,276,476,450,239,834
220: 221,616,629,510,272,124,470,464,13,48,498
221: 616,629,510,32,220,134,124,720,530,564,48
222: 360,175,111
223: 195,841
224: 204,708,668,828,836,41,358,125,469,740
225: 451,94,459
226: 243,796,570,434,321,360,560,479,111,247,250,15,481,416
227: 426,47,172,427,170,732
228: 604,26,627,779,230,817,317,580,74,87,834,462,142
229: 792,780,741,128,75,812,23,394
230: 604,26,121,228,317,133,580,701
231: 525,215,389,335,9,305
232: 464,13,737,300,579,310,829,378,398,339
233: 453,666,844,312,771,4,704,206
234: 503,409,115,514,165
235: 669,422,611,279,41,616,644,16,510,764
236: 76,828,615,708,370,694
237: 303,437,516,572,809,735,721,313,741,628,392,170,128,732
238: 543,193,343,401,679,71,356,344
239: 798,113,834,219,258,742,612,425,450
240: 395,511,184,53
241: 46,96,198,116,778,632,403,639,53,302
242: 280,560
243: 226,350,134,531,577,560,247,34,800
244: 11,483,657,652,647,701,353,122,725,594,210,444,214,830
245: 174,35,1
246: 633
247: 577,479,57,838,386,226,243,134,434,443,531
248: 675,504,576,77,19,681,666,422,51
249: 180,417,418,339,378,754,614,735,808,93,153,449,274
250: 586,479,111,226,443,321,481
251: 11,483,667,267,364,135,594,192,185,468,727,693,202
252: 726,14,772,433,318,60,264,530,352,310,816,829,821
253: 69,762,355,752,549,278,637,494,28,486,772,461,438,271
254: 340
255: 47,148,445
256: 270,91,138,150,508
257: 46,96,137,583,55,186,166,78,700,269
258: 219,94,522,742,612,380,602,728,239
259: 188,150,811,500,420,341,173,287,145,640,79
260: 444,214,11,267,546,468,27,18
261: 22,656,561,347,212
262: 307,662,518,96,78
263: 402,33,718,832,691,346,775,155,157
264: 772,433,60,252,352,829,378,625
265: 112,552,131,334,745,390,405
266: 488,359
267: 11,251,364,135,594,436,672,260,214,468,18
268: 35,68,446,151,1,706,88,484
269: 166,78,600,186,75,137,257,583,55
270: 256,480,138,150
271: 21,610,461,253,549,28,772,625,538,50,398,103
272: 124,557,629,220,470
273: 658
274: 210,449,153,300,12,281,122,563,417,249,339
275: 536,180,597,117,135,624,137,507,684,583,129,667,202
276: 338,760,618,843,315,97,219,94,380,769,8,462
277: 83,47,314,568
278: 355,752,253,52,821,158,813
279: 611,41,616,644,510,235,358,764,82,80,125,523
280: 242
281: 12,630,619,153,300,274
282: 
283: 723,631
284: 132,596,396,155,188,382,402,33,743,86,799
285: 84,832,529,686,826,537,179,362,478
286: 466,0
287: 130,718,439,341,203,259,429,155,79
288: 682,19,387,422,785,393,504,77
289: 551,648,814
290: 755
291: 444,584,830,317,133,701
292: 695,487,593,217
293: 614,572,517,446,415,345,433,352,108
294: 518,38,566,790,837
295: 12,498,699,611,82,80,711,200,642,13,804,191,501
296: 590,588,397,184,831,571
297: 95,344,748,17,49
298: 182
299: 
300: 464,13,432,232,579,60,378,153,12,281,630,563,339,274
301: 157,138
302: 361,53,403,639,395,241
303: 237,437,809,735,721,610,600,741,128,75,583,180,418,114
304: 
305: 212,389,195,525,215,231,522
306: 541,149,193,527,675,71,120,733,627,779
307: 372,262,518,66,595,405
308: 159,329,34,44
309: 366,746,165,561,127,663,347,212
310: 252,530,829,720,549,564,368,398,48,232
311: 492,666,164,62,184,590,36,704
312: 144,844,233,771,4
313: 754,614,237,735,517,786,93
314: 461,438,98,496,277,532
315: 338,682,64,760,843,276,653,587,25,97,8
316: 164,62,555,184
317: 133,580,228,230,542,755,701,291,584,830,801,146,142
318: 726,433,60,252,788,816,706,548,171,573,457
319: 63,827
320: 703,773,424,384
321: 226,250,481
322: 39,194,379,189,713,165,2,802,515,805,347,22
323: 762,52,549,637,61,368,839,36
324: 58,787,698,374,474
325: 533,168,382,65
326: 749
327: 350,124,796,570,774,845,423,14,530,788
328: 91,188,815,683,659
329: 201,308,159,34,800,351,7,163
330: 123,357,368,51,789,791,205,737,527,810,702,31
331: 533,421,136,27,396,168,526,382,118
332: 425,823,187,113,824,707,797,407,634,803
333: 39,189,370,607,534,2,545
334: 265,390,646
335: 777,139,413,101,9,3,231
336: 683,132,429,719,578,74,87,651,661,6
337: 759,582,20
338: 682,760,618,315,120,276,143,25,26,627,817,462
339: 563,536,180,417,249,597,714,378,808,50,153,232,300,579,274
340: 254,687,174
341: 420,475,203,500,40,287,130,259,79
342: 390,595
343: 724,193,401,500,238,750,102
344: 297,95,679,71,356,238,17,90,476,49
345: 89,35,457,293,517,606,108
346: 811,775,362,832,263
347: 783,178,713,322,309,463,177,805,261
348: 524,487,734,86,759,349,385,659,603
349: 759,385,659,363,91,815,508,348
350: 243,796,327,845,567,744,34,14
351: 329,7,163,751,399,833
352: 772,433,252,264,446,415,486,625,293,538,572
353: 647,244,122,563,117,725,685,121,31
354: 734,654,799,683,719,596,784
355: 253,278,821,484,151,813,14
356: 455,81,401,238,344
357: 123,794,847,368,588,789,330,791,381
358: 279,41,16,554,204,224,565,836,82,125
359: 515,442,379,266
360: 599,222,560,111,226
361: 53,302,38,42
362: 493,420,537,173,203,613,179,285,832,686,169,811,346
363: 815,508,349,385
364: 417,418,135,594,436,449,391,114,672,58,267,251
365: 95,181,425,145,640,824
366: 139,309,482,211,387,127,393,663,504,206
367: 90,109,17
368: 61,123,794,357,330,398,36,323,549,310,564
369: 172,89
370: 534,615,236,39,333,545
371: 213,539,621,593,650,695,105
372: 307,595
373: 375,158,201,34
374: 436,449,93,197,692,418,474,58,324,787
375: 373,201
376: 803
377: 164,674
378: 433,60,264,614,625,808,153,232,300,249,339
379: 322,503,713,515,359,442
380: 219,258,94,522,8,276
381: 103,507,198,684,847,357,791,398,414
382: 65,402,33,118,743,284,396,168,325,533,331
383: 455,42,724,401
384: 447,784,703,320,654
385: 759,349,659,363,815,348,487,86,723
386: 410,598,479,838,247,411,556,204,162,216,56,565,670
387: 19,453,489,211,54,785,366,393,504,206,288
388: 513,185,468,192,672,622,520
389: 139,746,717,101,305,212,525,231
390: 342,581,405,265,334,745,646
391: 129,394,474,192,114,763,672,364,418,58
392: 792,698,741,628,170,846,812,197,404,237,721,93,512,692,665
393: 127,589,663,489,54,495,387,785,366,504,288
394: 129,474,391,114,229,75,166,641
395: 240,497,639,53,302
396: 284,132,429,155,546,439,59,421,168,526,382,402,118,331
397: 588,296,53,116,632,571
398: 368,549,28,772,310,271,50,737,232,103,381,414
399: 489,751,673,7,577,57,351,531,440,660,833,765,16,32
400: 428,196,709,115
401: 724,543,193,343,238,831,383,356
402: 382,263,33,118,691,421,284,396,155
403: 639,302,241
404: 392,170,846,426,427,665
405: 390,664,38,307,66,265,745
406: 648,176
407: 20,332,707,490
408: 139
409: 70,234,776
410: 479,838,386,411,586,556,24
411: 648,551,176,410,598,386,147,24,56
412: 797,187,602,728,677,43
413: 717,101,679,335,90
414: 536,597,714,685,791,398,737,103,507,684,381
415: 172,446,88,83,486,352,293,538,572
416: 15,481,171,599,687,521,226,820,570
417: 563,364,180,249,418,597,714,725,135,339,594,210,436,449,274
418: 364,180,417,249,303,721,93,197,436,449,374,474,391,114,58
419: 17
420: 493,341,475,173,757,203,613,362,724,500,259
421: 513,691,727,546,439,396,155,402,118,331
422: 669,644,16,235,785,764,19,681,690,248,77,143,288
423: 124,570,327,557,171,788,816
424: 67,190,585,773,320
425: 365,332,748,450,823,49,612,239,824
426: 227,628,170,846,732,404
427: 227,170,404
428: 505,196,400,709,70,767,216
429: 336,132,396,155,79,287,130,652,439,755,59,87
430: 9,736,671
431: 207
432: 464,642,300,579,12,699,122,563,121,31
